number;id;xscales;yscales
1;a6a068a075e6d37a96b3922d38cc56b0;0.8579197416320268,0.7953960817690818,0.7069753752384103,0.6160910999422244,0.5374269570433661,0.4770191888561017,0.435988320533476,0.41364506471896384;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
2;d04baa82e0f807196c45450786d616ab;0.14208025836797306,0.20460391823091809,0.29302462476158964,0.38390890005777556,0.46257304295663393,0.5229808111438982,0.5640116794665239,0.5863549352810361;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
3;9c469d7854cdb09290680f17cdd18fee;0.5770802098950525,0.5770802098950525,0.5770802098950525,0.5770802098950525,0.5770802098950525,0.5770802098950525,0.5770802098950525,0.5770802098950525;0.5125076768077043,0.48314811959426746,0.4306211798760159,0.35639986081646413,0.2649177869966002,0.16588454249942483,0.07575217186074369,0.015403699648823682
4;c462ab1cc4dd0821f5a42dd03d2c9dc0;0.9740331104148154,0.9740331104148154,0.9740331104148154,0.9740331104148154,0.9740331104148154,0.9740331104148154,0.9740331104148154,0.9740331104148154;0.005397956146615312,0.02889518176169747,0.07291231619107641,0.13984181453138278,0.23101954803741925,0.34247031981849846,0.45775731015267307,0.5437164941835008
5;86791adeb24851ae9bd3f4419416f295;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.9436853618482778,0.9302002724576433,0.9085737579330806,0.8824949745945828,0.855922311103649,0.8323503473052941,0.8144405113530391,0.8039456821686736
6;7ab7046e3fa23fd4161c3d644e6640d6;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.05631463815172207,0.06979972754235664,0.09142624206691938,0.11750502540541706,0.14407768889635084,0.16764965269470583,0.18555948864696079,0.19605431783132637
7;5e9ca2a2b1419a14102e743419fc21cc;0.8770203856441113,0.8091402138136488,0.6995481586818342,0.5661838483684151,0.4289131241967535,0.30595984214621735,0.21178679567134062,0.15629758869120783;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
8;b162bd935fa02286f7fe201ceaa327c6;0.1229796143558885,0.19085978618635113,0.3004518413181657,0.4338161516315849,0.5710868758032465,0.6940401578537825,0.7882132043286593,0.8437024113087922;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
9;e0beaea894bc6ef9bb57456b39a0fea5;0.7555035179377453,0.7287262535136743,0.6775894105456055,0.5973011278923183,0.4827073428359755,0.33377283608891467,0.16839900964015433,0.0368279949031031;0.7340265575301941,0.7340265575301941,0.7340265575301941,0.7340265575301941,0.7340265575301941,0.7340265575301941,0.7340265575301941,0.7340265575301941
10;b8c54ff4220583c23f543c02db5f54e2;0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999;0.5800804871283051,0.5587804298298982,0.5198648973937643,0.46303717986265214,0.3898546299591247,0.3064369084805795,0.22642289276849387,0.17051100018850765
